,0,1,2,Longitude, Latitude
152,175411,1,2019-06-13 12:22:01.762888,13.394964,52.5177
153,178075,1,2019-06-13 12:22:01.762888,13.3951435,52.522724
154,175831,1,2019-06-13 12:22:01.762888,13.412074,52.51507
155,177068,1,2019-06-13 12:22:01.762888,13.407527,52.52643
156,186452,1,2019-06-13 12:22:01.762888,13.394221,52.521057
157,174827,1,2019-06-13 12:22:01.762888,13.406457,52.526585
158,175520,1,2019-06-13 12:22:01.762888,13.404788,52.513233
159,178187,1,2019-06-13 12:22:01.762888,13.394281737,52.522006747
160,184053,1,2019-06-13 12:22:01.762888,13.409618,52.5262
161,174956,1,2019-06-13 12:22:01.762888,13.396765869,52.515295159
162,177016,1,2019-06-13 12:22:01.762888,13.41555,52.522438
163,183918,1,2019-06-13 12:22:01.762888,13.408601,52.52656
164,176702,1,2019-06-13 12:22:01.762888,13.39837,52.51432
165,175623,1,2019-06-13 12:22:01.762888,13.39837,52.51432
166,175249,1,2019-06-13 12:22:01.762888,13.407897,52.52678
167,175314,1,2019-06-13 12:22:01.762888,13.39829,52.514244
168,176490,1,2019-06-13 12:22:01.762888,13.414754,52.516205
169,176639,1,2019-06-13 12:22:01.762888,13.3956585,52.524307
170,176730,1,2019-06-13 12:22:01.762888,13.394606,52.52331
171,177645,1,2019-06-13 12:22:01.762888,13.407538,52.526947
172,177634,1,2019-06-13 12:22:01.762888,13.394586,52.52331
173,183721,1,2019-06-13 12:22:01.762888,13.39415,52.522816
174,175397,1,2019-06-13 12:22:01.762888,13.394104,52.522766
175,177478,1,2019-06-13 12:22:01.762888,13.397554,52.514442
176,178085,1,2019-06-13 12:22:01.762888,13.415048,52.516228
177,174712,1,2019-06-13 12:22:01.762888,13.393461,52.52185
178,176145,1,2019-06-13 12:22:01.762888,13.41592,52.52284
179,176672,1,2019-06-13 12:22:01.762888,13.406773,52.527237
180,177903,1,2019-06-13 12:22:01.762888,13.408076587,52.527087551
181,183784,1,2019-06-13 12:22:01.762888,13.403422,52.52734
182,175545,1,2019-06-13 12:22:01.762888,13.392651,52.51913
183,184007,1,2019-06-13 12:22:01.762888,13.394531,52.515667
184,175664,1,2019-06-13 12:22:01.762888,13.411233,52.526707
185,177274,1,2019-06-13 12:22:01.762888,13.395109,52.524986
